filename;serie_id;title;camera;lens;paper;dimensions;date;description;size_small;precio_small;size_medium;precio_medium;size_large;precio_large
JMX_9177.avif;rostros_de_metal;El Capitán;Hasselblad H6D;80mm;Hahnemühle FineArt Baryta;115 x 70 cm;22/2/2026;Una pieza que captura la esencia del metal y el tiempo.;60 x 40 cm;255;75 x 50 cm;390;90 x 60 cm;550
JMX_9135.avif;rostros_de_metal;Royal;Canon Eos R5;50mm;Hahnemühle Photo Rag;90 x 60 cm;14/2/2026;Elegancia mecánica en estado puro.;60 x 40 cm;255;;;
